Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-01-05,2023-01-06,2200,APPLE.COM/BILL,Entertainment,2.11,
2024-04-30,2024-04-30,2200,APPLE.COM/BILL,Entertainment,12.74,
2024-04-27,2024-04-29,2200,"GITHUB, INC.",Internet,10.0,
2024-04-27,2024-04-27,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,100.0
2024-04-25,2024-04-26,2200,SQ *TASTY CAFE & KITCH,Dining,39.88,
2024-04-20,2024-04-20,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,100.0
2024-04-19,2024-04-20,2200,Prime Video Channels,Entertainment,7.99,
2024-04-17,2024-04-18,2200,Spotify USA,Phone/Cable,10.99,
2024-04-14,2024-04-15,2200,Disney Plus,Phone/Cable,24.99,
2024-04-13,2024-04-13,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,50.0
2024-04-10,2024-04-12,2200,RMV E-SERVICES,Other Services,50.0,
2024-04-07,2024-04-08,2200,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,38.97
2024-04-05,2024-04-08,2200,PPL - LAFAYETTE,Gas/Automotive,22.0,
2024-04-06,2024-04-06,2200,APPLE.COM/BILL,Entertainment,2.99,
2024-04-03,2024-04-05,2200,SUPPORTPDFFILLER.COM,Professional Services,,1.75
2024-04-01,2024-04-03,2200,SUPPORTPDFFILLER.COM,Professional Services,1.75,
2024-03-30,2024-03-30,2200,CHEESECAKE NORTH SHORE,Dining,61.42,
2024-03-29,2024-03-30,2200,"GITHUB, INC.",Internet,9.35,
2024-03-28,2024-03-29,2200,LIFE CAFE #281,Dining,18.24,
2024-03-27,2024-03-27,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,85.0
2024-03-23,2024-03-25,2200,BESTBUYCOM806927150775,Merchandise,16.99,
2024-03-19,2024-03-20,2200,Prime Video Channels,Entertainment,7.99,
2024-03-17,2024-03-18,2200,Spotify USA,Phone/Cable,10.99,
2024-03-16,2024-03-16,2200,TST* TONY C'S SPORTS B,Dining,51.49,
2024-03-15,2024-03-16,2200,SP VERSO BOOKS,Merchandise,7.99,
2024-03-14,2024-03-15,2200,Disney Plus,Phone/Cable,24.99,
2024-03-06,2024-03-06,2200,APPLE.COM/BILL,Entertainment,2.99,
2024-02-17,2024-02-19,2200,Spotify USA,Phone/Cable,10.99,
2024-02-14,2024-02-15,2200,Disney Plus,Phone/Cable,24.99,
2024-02-07,2024-02-07,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,38.97
2024-02-07,2024-02-07,2200,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.0
2024-02-06,2024-02-06,2200,APPLE.COM/BILL,Entertainment,2.99,
2024-01-17,2024-01-18,2200,Spotify USA,Phone/Cable,10.99,
2024-01-14,2024-01-15,2200,Disney Plus,Phone/Cable,24.99,
2024-01-11,2024-01-12,2200,COLLEGEBOARD*PROFILE,Other,25.0,
2024-01-09,2024-01-09,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,79.43
2024-01-07,2024-01-08,2200,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,51.94
2024-01-06,2024-01-08,2200,APPLE.COM/BILL,Merchandise,2.99,
2024-01-05,2024-01-06,2200,CHILDRENS PARKING GARA,Health Care,2.0,
2024-01-03,2024-01-04,2200,AMC ONLINE 9640,Entertainment,34.36,
